GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Mutation score(%),Statement Coverage
Apache Commons Collections,org.apache.commons.collections4.bag,TransformedBag,0,98,1,7,0,18,1,13,0,10,6,100
Apache Commons Collections,org.apache.commons.collections4.bag,TreeBag,7,82,0,4,3,20,1,11,1,9,42,86.95652174
Apache Commons Collections,org.apache.commons.collections4.bag,CollectionBag,11,134,3,21,2,42,3,20,0,11,79,95.45454545
Apache Commons Collections,org.apache.commons.collections4.bag,CollectionSortedBag,11,134,3,21,2,42,3,20,0,11,75,95.45454545
Apache Commons Collections,org.apache.commons.collections4.bag,HashBag,0,28,0,0,0,11,0,4,0,4,50,100
Apache Commons Collections,org.apache.commons.collections4.bloomfilter.hasher.function,Signatures,0,6,0,0,0,1,0,1,0,1,100,100
Apache Commons Collections,org.apache.commons.collections4.bloomfilter.hasher.function,Murmur128x64Cyclic,0,51,0,4,0,13,0,9,0,7,78,100
Apache Commons Collections,org.apache.commons.collections4.bloomfilter.hasher.function,Murmur32x86Iterative,0,26,0,0,0,9,0,7,0,7,67,100
Apache Commons Collections,org.apache.commons.collections4.trie,UnmodifiableTrie,27,117,0,2,6,28,5,23,5,22,13,82.35294118
Apache Commons Collections,org.apache.commons.collections4.list,NodeCachingLinkedList,10,150,0,12,4,51,2,18,2,12,0,92.72727273
Apache Commons Collections,org.apache.commons.collections4.list,TreeList,2,262,2,16,1,53,2,23,0,16,0,98.14814815
Apache Commons Collections,org.apache.commons.collections4.list,TransformedList,0,146,1,7,0,28,1,19,0,16,91,100
Apache Commons Collections,org.apache.commons.collections4.list,FixedSizeList,0,94,0,0,0,25,0,23,0,23,100,100
Apache Commons Collections,org.apache.commons.collections4.list,UnmodifiableList,0,87,0,2,0,22,0,18,0,17,100,100
Apache Commons Collections,org.apache.commons.collections4.list,GrowthList,3,97,4,6,0,22,3,9,0,7,50,100
Apache Commons Collections,org.apache.commons.collections4.list,CursorableLinkedList,19,213,7,17,7,73,8,25,1,20,0,91.25
Apache Commons Collections,org.apache.commons.collections4.list,SetUniqueList,24,298,0,24,3,70,1,32,1,20,0,95.89041096
Apache Commons Collections,org.apache.commons.collections4.list,PredicatedList,0,114,0,6,0,23,0,18,0,15,90,100
Apache Commons Collections,org.apache.commons.collections4.list,LazyList,10,129,2,12,2,32,2,12,0,7,100,94.11764706
Apache Commons Collections,org.apache.commons.collections4.functors,ComparatorPredicate,15,82,1,15,1,22,1,13,0,4,100,95.65217391
Apache Commons Collections,org.apache.commons.collections4.functors,MapTransformer,3,20,0,2,1,7,1,4,1,3,80,87.5
Apache Commons Collections,org.apache.commons.collections4.functors,InstantiateTransformer,32,86,10,14,8,19,10,8,0,6,88,70.37037037
Apache Commons Collections,org.apache.commons.collections4.functors,OrPredicate,13,35,0,4,1,7,1,5,1,3,80,87.5
Apache Commons Collections,org.apache.commons.collections4.functors,NotNullPredicate,0,15,0,2,0,4,0,5,0,4,100,100
Apache Commons Collections,org.apache.commons.collections4.functors,FactoryTransformer,3,18,0,0,1,5,1,3,1,3,67,83.33333333
Apache Commons Collections,org.apache.commons.collections4.functors,NonePredicate,0,55,0,8,0,14,0,8,0,4,100,100
Apache Commons Collections,org.apache.commons.collections4.functors,StringValueTransformer,0,12,0,0,0,4,0,4,0,4,100,100
Apache Commons Collections,org.apache.commons.collections4.functors,WhileClosure,9,43,0,4,3,12,3,5,3,3,63,80
Apache Commons Collections,org.apache.commons.collections4.functors,UniquePredicate,0,17,0,0,0,5,0,3,0,3,100,100
Apache Commons Collections,org.apache.commons.collections4.functors,IfTransformer,9,56,0,2,3,13,3,5,3,4,63,81.25
Apache Commons Collections,org.apache.commons.collections4.functors,CatchAndRethrowClosure,0,17,0,0,0,8,0,2,0,2,100,100
Apache Commons Collections,org.apache.commons.collections4.functors,PredicateTransformer,3,24,0,2,1,7,1,4,1,3,75,87.5
Apache Commons Collections,org.apache.commons.collections4.functors,ExceptionFactory,0,14,0,0,0,4,0,4,0,4,100,100
Apache Commons Collections,org.apache.commons.collections4.functors,EqualPredicate,3,48,0,6,1,15,1,8,1,5,90,93.75
Apache Commons Collections,org.apache.commons.collections4.functors,NullIsExceptionPredicate,8,26,0,2,1,7,1,4,1,3,50,87.5
Apache Commons Collections,org.apache.commons.collections4.functors,ConstantTransformer,43,31,11,3,9,11,8,7,2,6,33,55
Apache Commons Collections,org.apache.commons.collections4.functors,InstantiateFactory,23,105,5,15,7,26,5,10,0,5,88,78.78787879
Apache Commons Collections,org.apache.commons.collections4.functors,NullIsFalsePredicate,8,23,0,2,1,7,1,4,1,3,80,87.5
Apache Commons Collections,org.apache.commons.collections4.functors,PrototypeFactory,0,66,0,4,0,13,0,3,0,1,100,100
Apache Commons Collections,org.apache.commons.collections4.functors,NOPTransformer,0,11,0,0,0,4,0,4,0,4,100,100
Apache Commons Collections,org.apache.commons.collections4.functors,CloneTransformer,0,15,0,2,0,5,0,4,0,3,100,100
Apache Commons Collections,org.apache.commons.collections4.functors,DefaultEquator,4,25,2,6,1,4,3,6,1,4,63,80
Apache Commons Collections,org.apache.commons.collections4.functors,ChainedClosure,4,88,0,10,1,22,1,10,1,5,88,95.65217391
Apache Commons Collections,org.apache.commons.collections4.functors,ClosureTransformer,3,20,0,0,1,6,1,3,1,3,50,85.71428571
Apache Commons Collections,org.apache.commons.collections4.functors,InvokerTransformer,45,126,4,20,6,25,4,13,0,5,100,80.64516129
Apache Commons Collections,org.apache.commons.collections4.functors,TransformedPredicate,11,31,0,0,2,8,2,3,2,3,50,80
Apache Commons Collections,org.apache.commons.collections4.functors,SwitchClosure,13,151,2,20,3,34,5,14,3,5,72,91.89189189
Apache Commons Collections,org.apache.commons.collections4.functors,IfClosure,15,48,0,2,5,13,4,5,4,4,63,72.22222222
Apache Commons Collections,org.apache.commons.collections4.functors,OnePredicate,4,60,1,9,1,16,1,8,0,4,93,94.11764706
Apache Commons Collections,org.apache.commons.collections4.functors,AndPredicate,13,35,0,4,1,7,1,5,1,3,80,87.5
Apache Commons Collections,org.apache.commons.collections4.functors,AllPredicate,0,73,0,12,0,18,0,10,0,4,100,100
Apache Commons Collections,org.apache.commons.collections4.functors,TruePredicate,0,11,0,0,0,4,0,4,0,4,100,100
Apache Commons Collections,org.apache.commons.collections4.functors,ExceptionTransformer,0,14,0,0,0,4,0,4,0,4,100,100
Apache Commons Collections,org.apache.commons.collections4.functors,NOPClosure,0,10,0,0,0,4,0,4,0,4,100,100
Apache Commons Collections,org.apache.commons.collections4.bidimap,TreeBidiMap,151,1843,29,224,32,432,29,163,1,64,0,93.10344828
Apache Commons Collections,org.apache.commons.collections4.bidimap,UnmodifiableBidiMap,0,79,0,4,0,23,0,14,0,12,0,100
Apache Commons Collections,org.apache.commons.collections4.bidimap,DualTreeBidiMap,36,207,2,10,9,51,5,21,3,17,0,85
Apache Commons Collections,org.apache.commons.collections4.bidimap,DualHashBidiMap,12,49,0,0,3,14,1,5,1,5,0,82.35294118
Apache Commons Collections,org.apache.commons.collections4.bidimap,UnmodifiableOrderedBidiMap,0,82,0,4,0,24,0,15,0,13,0,100
Apache Commons Collections,org.apache.commons.collections4.bidimap,UnmodifiableSortedBidiMap,0,104,0,4,0,29,0,17,0,15,0,100
Apache Commons Collections,org.apache.commons.collections4.map,TransformedSortedMap,0,94,1,1,0,19,1,10,0,10,0,100
Apache Commons Collections,org.apache.commons.collections4.map,FixedSizeMap,30,71,4,2,8,20,5,11,3,10,50,71.42857143
Apache Commons Collections,org.apache.commons.collections4.map,PredicatedSortedMap,0,72,0,0,0,13,0,9,0,9,100,100
Apache Commons Collections,org.apache.commons.collections4.map,PredicatedMap,0,128,0,16,0,32,0,17,0,9,89,100
Apache Commons Collections,org.apache.commons.collections4.map,UnmodifiableMap,21,65,2,2,5,22,2,12,1,11,58,81.48148148
Apache Commons Collections,org.apache.commons.collections4.map,CompositeMap,17,458,3,49,5,87,4,44,1,21,94,94.56521739
Apache Commons Collections,org.apache.commons.collections4.map,TransformedMap,1,144,2,10,0,38,2,16,0,12,96,100
Apache Commons Collections,org.apache.commons.collections4.map,LazySortedMap,0,75,0,0,0,16,0,11,0,11,100,100
Apache Commons Collections,org.apache.commons.collections4.map,EntrySetToMapIteratorAdapter,0,57,0,2,0,18,0,10,0,9,67,100
Apache Commons Collections,org.apache.commons.collections4.map,HashedMap,0,35,0,0,0,15,0,7,0,7,40,100
Apache Commons Collections,org.apache.commons.collections4.map,LRUMap,203,296,9,31,17,87,13,32,5,20,0,83.65384615
Apache Commons Collections,org.apache.commons.collections4.map,MultiKeyMap,144,1430,108,188,6,303,80,107,0,39,0,98.05825243
Apache Commons Collections,org.apache.commons.collections4.map,FixedSizeSortedMap,21,94,2,2,6,21,4,15,3,14,0,77.77777778
Apache Commons Collections,org.apache.commons.collections4.map,Flat3Map,144,1247,64,226,30,328,61,123,0,23,0,91.62011173
Apache Commons Collections,org.apache.commons.collections4.map,ReferenceMap,24,28,0,0,6,10,3,4,3,4,0,62.5
Apache Commons Collections,org.apache.commons.collections4.map,StaticBucketMap,37,573,9,63,11,121,11,44,3,16,0,91.66666667
Apache Commons Collections,org.apache.commons.collections4.map,SingletonMap,114,190,20,15,29,50,21,30,5,28,0,63.29113924
Apache Commons Collections,org.apache.commons.collections4.map,CaseInsensitiveMap,5,60,0,4,2,19,1,9,1,7,0,90.47619048
Apache Commons Collections,org.apache.commons.collections4.map,UnmodifiableSortedMap,4,92,0,2,1,24,1,17,1,16,80,96
Apache Commons Collections,org.apache.commons.collections4.map,ReferenceIdentityMap,24,61,0,6,6,16,3,11,3,8,0,72.72727273
Apache Commons Collections,org.apache.commons.collections4.map,MultiValueMap,13,327,5,39,2,86,6,38,1,21,0,97.72727273
Apache Commons Collections,org.apache.commons.collections4.multimap,ArrayListValuedHashMap,0,82,0,2,0,26,0,10,0,9,13,100
Apache Commons Collections,org.apache.commons.collections4.multimap,TransformedMultiValuedMap,0,157,1,13,0,34,1,15,0,9,0,100
Apache Commons Collections,org.apache.commons.collections4.multimap,UnmodifiableMultiValuedMap,0,79,0,2,0,19,0,17,0,16,20,100
Apache Commons Collections,org.apache.commons.collections4.set,UnmodifiableSet,0,49,0,2,0,14,0,11,0,10,75,100
Apache Commons Collections,org.apache.commons.collections4.set,UnmodifiableSortedSet,0,87,0,2,0,25,0,16,0,15,0,100
Apache Commons Collections,org.apache.commons.collections4.set,UnmodifiableNavigableSet,0,126,0,2,0,33,0,21,0,20,0,100
Apache Commons Collections,org.apache.commons.collections4.set,PredicatedSet,0,31,0,4,0,6,0,7,0,5,100,100
Apache Commons Collections,org.apache.commons.collections4.set,CompositeSet,25,486,6,68,7,119,8,56,2,25,93,94.44444444
Apache Commons Collections,org.apache.commons.collections4.set,ListOrderedSet,7,306,3,27,2,77,3,36,0,24,93,97.46835443
Apache Commons Collections,org.apache.commons.collections4.set,TransformedSortedSet,43,60,4,0,8,12,4,8,2,8,0,60
Apache Commons Collections,org.apache.commons.collections4.set,PredicatedNavigableSet,15,74,0,0,3,15,3,11,3,11,0,83.33333333
Apache Commons Collections,org.apache.commons.collections4.set,PredicatedSortedSet,0,64,0,0,0,13,0,9,0,9,0,100
Apache Commons Collections,org.apache.commons.collections4.set,TransformedNavigableSet,54,74,4,0,10,15,6,11,4,11,0,60
Apache Commons Collections,org.apache.commons.collections4.iterators,EnumerationIterator,36,29,4,0,11,10,6,4,4,4,40,47.61904762
Apache Commons Collections,org.apache.commons.collections4.iterators,IteratorChain,20,214,2,16,5,49,4,19,2,12,61,90.74074074
Apache Commons Collections,org.apache.commons.collections4.iterators,EmptyMapIterator,0,10,0,0,0,4,0,3,0,3,100,100
Apache Commons Collections,org.apache.commons.collections4.iterators,SingletonIterator,0,75,0,14,0,22,0,13,0,6,100,100
Apache Commons Collections,org.apache.commons.collections4.iterators,ObjectArrayIterator,6,105,0,12,2,27,2,14,2,8,88,93.10344828
Apache Commons Collections,org.apache.commons.collections4.iterators,EmptyIterator,0,14,0,0,0,6,0,4,0,4,100,100
Apache Commons Collections,org.apache.commons.collections4.iterators,ArrayListIterator,5,113,0,8,1,25,1,14,1,10,100,96.15384615
Apache Commons Collections,org.apache.commons.collections4.iterators,LoopingIterator,0,52,0,6,0,15,0,9,0,6,100,100
Apache Commons Collections,org.apache.commons.collections4.iterators,NodeListIterator,0,69,2,6,0,13,2,7,0,5,100,100
Apache Commons Collections,org.apache.commons.collections4.iterators,ObjectGraphIterator,0,195,0,30,0,56,0,23,0,8,100,100
Apache Commons Collections,org.apache.commons.collections4.iterators,UnmodifiableIterator,0,35,0,2,0,11,0,6,0,5,100,100
Apache Commons Collections,org.apache.commons.collections4.iterators,LazyIteratorChain,0,99,0,12,0,28,0,11,0,5,100,100
Apache Commons Collections,org.apache.commons.collections4.iterators,PeekingIterator,7,127,2,22,3,35,2,18,0,8,86,92.10526316
Apache Commons Collections,org.apache.commons.collections4.iterators,SingletonListIterator,0,127,2,26,0,32,2,23,0,11,100,100
Apache Commons Collections,org.apache.commons.collections4.iterators,EmptyListIterator,2,12,0,0,1,5,1,3,1,3,50,83.33333333
Apache Commons Collections,org.apache.commons.collections4.iterators,FilterListIterator,68,191,6,30,18,58,15,24,9,12,88,76.31578947
Apache Commons Collections,org.apache.commons.collections4.iterators,ZippingIterator,0,136,0,12,0,34,0,12,0,6,100,100
Apache Commons Collections,org.apache.commons.collections4.iterators,CollatingIterator,31,361,3,39,8,94,5,38,2,20,84,92.15686275
Apache Commons Collections,org.apache.commons.collections4.iterators,PermutationIterator,0,259,0,32,0,44,0,20,0,4,90,100
Apache Commons Collections,org.apache.commons.collections4.iterators,PushbackIterator,5,56,2,6,2,12,2,8,0,6,89,85.71428571
Apache Commons Collections,org.apache.commons.collections4.iterators,EntrySetMapIterator,121,0,10,0,31,0,14,0,9,0,0,0
Apache Commons Collections,org.apache.commons.collections4.iterators,EmptyOrderedIterator,0,10,0,0,0,4,0,3,0,3,100,100
Apache Commons Collections,org.apache.commons.collections4.iterators,ListIteratorWrapper,36,254,7,31,10,60,7,23,2,9,92,85.71428571
Apache Commons Collections,org.apache.commons.collections4.iterators,ObjectArrayListIterator,6,112,0,8,3,23,1,14,1,10,94,88.46153846
Apache Commons Collections,org.apache.commons.collections4.bloomfilter.hasher,HashFunctionIdentityImpl,0,56,0,0,0,19,0,7,0,7,100,100
Apache Commons Collections,org.apache.commons.collections4.bloomfilter.hasher,Shape,0,408,0,24,0,77,0,32,0,20,79,100
Apache Commons Collections,org.apache.commons.collections4.bloomfilter.hasher,HashFunctionIdentity,0,44,0,0,0,4,0,2,0,2,50,100
Apache Commons Collections,org.apache.commons.collections4.bloomfilter.hasher,HashFunctionValidator,0,64,0,8,0,10,0,7,0,3,83,100
Apache Commons Collections,org.apache.commons.collections4,EnumerationUtils,0,61,0,6,0,14,0,7,0,4,89,100
Apache Commons Collections,org.apache.commons.collections4,BagUtils,8,39,0,0,3,11,3,9,3,9,73,78.57142857
Apache Commons Collections,org.apache.commons.collections4,SetUtils,37,180,1,21,11,43,12,26,11,16,74,79.62962963
Apache Commons Collections,org.apache.commons.collections4,FluentIterable,0,187,0,2,0,44,0,35,0,34,100,100
Apache Commons Collections,org.apache.commons.collections4,IteratorUtils,35,740,10,72,11,178,8,103,0,70,0,94.17989418
Apache Commons Collections,org.apache.commons.collections4,ClosureUtils,0,109,0,2,0,27,0,17,0,16,100,100
Apache Commons Collections,org.apache.commons.collections4,ArrayUtils,22,38,7,9,6,9,6,6,1,3,53,60
Apache Commons Collections,org.apache.commons.collections4,SplitMapUtils,3,36,1,5,1,9,1,4,0,2,86,90
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils,34,1515,17,253,7,357,16,192,0,73,91,98.07692308
Apache Commons Collections,org.apache.commons.collections4,TrieUtils,0,3,0,0,0,1,0,1,0,1,100,100
Apache Commons Collections,org.apache.commons.collections4,IterableUtils,43,512,0,42,4,113,4,61,4,40,0,96.58119658
Apache Commons Collections,org.apache.commons.collections4,FactoryUtils,0,21,0,0,0,6,0,6,0,6,100,100
Apache Commons Collections,org.apache.commons.collections4,MapUtils,73,1146,10,142,19,236,26,144,16,78,0,92.54901961
Apache Commons Collections,org.apache.commons.collections4,ListUtils,43,377,7,55,8,90,11,44,5,19,85,91.83673469
Apache Commons Collections,org.apache.commons.collections4,QueueUtils,0,22,0,0,0,6,0,6,0,6,100,100
Apache Commons Collections,org.apache.commons.collections4,MultiSetUtils,0,18,0,0,0,6,0,5,0,5,100,100
Apache Commons Collections,org.apache.commons.collections4,TransformerUtils,0,134,0,2,0,33,0,24,0,23,100,100
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,BloomFilterIndexer,0,23,0,2,0,5,0,4,0,3,100,100
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,IndexFilters,0,33,0,2,0,9,0,3,0,2,100,100
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,SetOperations,0,160,0,6,0,27,0,12,0,9,80,100
Apache Commons Collections,org.apache.commons.collections4.multiset,HashMultiSet,0,30,0,0,0,12,0,4,0,4,0,100
Apache Commons Collections,org.apache.commons.collections4.multiset,SynchronizedMultiSet,18,115,0,2,4,22,2,11,2,10,25,84.61538462
Apache Commons Collections,org.apache.commons.collections4.multiset,PredicatedMultiSet,9,59,0,4,2,12,1,12,1,10,21,85.71428571
Apache Commons Collections,org.apache.commons.collections4.multiset,UnmodifiableMultiSet,0,90,0,2,0,27,0,18,0,17,20,100
Apache Commons Collections,org.apache.commons.collections4.queue,SynchronizedQueue,5,97,0,2,2,20,1,11,1,10,9,90.90909091
Apache Commons Collections,org.apache.commons.collections4.queue,TransformedQueue,0,77,1,3,0,16,1,10,0,9,93,100
Apache Commons Collections,org.apache.commons.collections4.queue,CircularFifoQueue,0,358,1,45,0,91,1,43,0,21,97,100
Apache Commons Collections,org.apache.commons.collections4.queue,UnmodifiableQueue,0,76,0,2,0,23,0,16,0,15,63,100
