GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,mutation score(%),Branch Coverage
Apache Commons Configuration,org.apache.commons.configuration2.builder,BuilderConfigurationWrapperFactory,0,71,0,6,0,21,0,9,0,6,100,100
Apache Commons Configuration,org.apache.commons.configuration2.builder,DefaultParametersManager,0,93,0,12,0,25,0,12,0,6,100,100
Apache Commons Configuration,org.apache.commons.configuration2.io,AbsoluteNameLocationStrategy,0,24,0,6,0,6,0,5,0,2,100,100
Apache Commons Configuration,org.apache.commons.configuration2.io,FileLocatorUtils,14,504,5,69,2,115,5,56,0,24,93,93.24324324
Apache Commons Configuration,org.apache.commons.configuration2.io,BasePathLocationStrategy,0,21,0,4,0,8,0,4,0,2,100,100
Apache Commons Configuration,org.apache.commons.configuration2.io,DefaultFileSystem,106,192,8,30,18,56,9,20,2,8,6,78.94736842
Apache Commons Configuration,org.apache.commons.configuration2.io,CombinedLocationStrategy,0,53,0,8,0,15,0,7,0,3,100,100
Apache Commons Configuration,org.apache.commons.configuration2.io,FileSystem,4,22,0,2,2,7,1,6,1,5,100,100
Apache Commons Configuration,org.apache.commons.configuration2.io,VFSFileSystem,450,95,59,13,108,29,40,6,5,5,0,18.05555556
Apache Commons Configuration,org.apache.commons.configuration2.io,HomeDirectoryLocationStrategy,0,69,0,10,0,24,0,13,0,8,100,100
Apache Commons Configuration,org.apache.commons.configuration2.io,FileLocator,0,155,0,6,0,38,0,14,0,11,96,100
Apache Commons Configuration,org.apache.commons.configuration2.io,ConfigurationLogger,0,91,0,4,0,31,0,18,0,16,100,100
Apache Commons Configuration,org.apache.commons.configuration2.io,FileUtils,4,109,4,14,2,24,5,8,1,3,75,77.77777778
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler,65,875,4,74,13,284,4,112,0,77,93,94.87179487
Apache Commons Configuration,org.apache.commons.configuration2.io,ClasspathLocationStrategy,0,13,0,2,0,3,0,3,0,2,100,100
Apache Commons Configuration,org.apache.commons.configuration2.sync,ReadWriteSynchronizer,0,38,0,2,0,14,0,8,0,7,100,100
Apache Commons Configuration,org.apache.commons.configuration2.plist,TokenMgrError,173,0,18,0,37,0,19,0,6,0,0,0
Apache Commons Configuration,org.apache.commons.configuration2.plist,XMLPropertyListConfiguration,132,512,14,50,29,104,11,34,1,12,72,78.125
Apache Commons Configuration,org.apache.commons.configuration2.plist,ParseException,182,189,22,10,34,32,20,5,2,3,19,31.25
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListParserTokenManager,630,1373,153,145,153,257,114,83,7,20,33,48.65771812
Apache Commons Configuration,org.apache.commons.configuration2.plist,SimpleCharStream,752,304,40,20,124,70,47,20,24,12,17,33.33333333
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListParser,630,999,92,110,102,212,77,74,11,37,0,54.45544554
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListConfiguration,108,594,21,63,24,120,19,38,1,14,71,75
Apache Commons Configuration,org.apache.commons.configuration2.resolver,DefaultEntityResolver,40,25,3,3,12,8,3,4,1,3,38,50
Apache Commons Configuration,org.apache.commons.configuration2.resolver,CatalogResolver,49,140,6,8,7,43,5,14,0,12,32,57.14285714
Apache Commons Configuration,org.apache.commons.configuration2.reloading,CombinedReloadingController,0,63,0,6,0,17,0,9,0,6,100,100
Apache Commons Configuration,org.apache.commons.configuration2.reloading,PeriodicReloadingTrigger,0,111,0,12,0,34,0,17,0,11,100,100
Apache Commons Configuration,org.apache.commons.configuration2.reloading,VFSFileHandlerReloadingDetector,23,99,0,8,4,27,0,10,0,6,100,100
Apache Commons Configuration,org.apache.commons.configuration2.reloading,FileHandlerReloadingDetector,3,139,0,20,2,39,0,23,0,13,88,100
Apache Commons Configuration,org.apache.commons.configuration2.reloading,ReloadingController,0,85,0,10,0,27,0,12,0,7,100,100
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeUpdateData,3,47,0,4,1,15,1,8,1,6,90,100
Apache Commons Configuration,org.apache.commons.configuration2.tree,TrackedNodeModel,0,134,0,8,0,36,0,20,0,16,84,100
Apache Commons Configuration,org.apache.commons.configuration2.tree,DefaultConfigurationKey,2,497,5,83,1,120,5,67,0,28,87,94.31818182
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction,4,538,3,41,0,134,3,54,0,35,29,93.18181818
Apache Commons Configuration,org.apache.commons.configuration2.tree,ImmutableNode,0,318,0,26,0,66,0,32,0,19,96,100
Apache Commons Configuration,org.apache.commons.configuration2.tree,OverrideCombiner,0,147,1,19,0,29,1,13,0,4,100,95
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeSelector,0,154,0,14,0,36,0,15,0,8,88,100
Apache Commons Configuration,org.apache.commons.configuration2.tree,DefaultExpressionEngine,0,342,1,43,0,75,1,35,0,14,98,97.72727273
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeTracker,8,346,2,26,1,77,2,28,0,16,96,92.85714286
Apache Commons Configuration,org.apache.commons.configuration2.tree,QueryResult,0,113,0,8,0,27,0,14,0,10,93,100
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel,2,1287,7,115,0,341,7,117,0,63,97,94.26229508
Apache Commons Configuration,org.apache.commons.configuration2.tree,ReferenceTracker,13,134,4,16,2,36,4,12,0,6,100,80
Apache Commons Configuration,org.apache.commons.configuration2.tree,AbstractImmutableNodeHandler,0,115,0,14,0,24,0,22,0,15,100,100
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeAddData,0,38,0,2,0,13,0,7,0,6,100,100
Apache Commons Configuration,org.apache.commons.configuration2.tree,TreeData,13,146,0,10,1,35,1,17,1,12,94,100
Apache Commons Configuration,org.apache.commons.configuration2.tree,MergeCombiner,0,219,1,27,0,47,1,18,0,5,95,96.42857143
Apache Commons Configuration,org.apache.commons.configuration2.tree,DefaultExpressionEngineSymbols,0,166,0,4,0,45,0,14,0,12,90,100
Apache Commons Configuration,org.apache.commons.configuration2.tree,TreeUtils,0,113,1,11,0,22,1,7,0,2,8,91.66666667
Apache Commons Configuration,org.apache.commons.configuration2.tree,UnionCombiner,0,119,0,16,0,25,0,11,0,3,100,100
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeTreeWalker,0,123,0,22,0,33,0,18,0,7,100,100
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ExprLookup,62,122,3,7,17,33,8,13,6,10,21,70
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ConstantLookup,0,109,1,7,0,32,1,9,0,6,0,87.5
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ConfigurationInterpolator,0,347,0,44,0,84,0,49,0,27,0,100
Apache Commons Configuration,org.apache.commons.configuration2.web,BaseWebConfiguration,0,51,0,8,0,10,0,10,0,6,0,100
Apache Commons Configuration,org.apache.commons.configuration2.web,AppletConfiguration,45,0,4,0,9,0,5,0,3,0,100,0
Apache Commons Configuration,org.apache.commons.configuration2.web,ServletRequestConfiguration,6,71,2,8,1,16,2,6,0,3,100,80
Apache Commons Configuration,org.apache.commons.configuration2.spring,ConfigurationPropertiesFactoryBean,11,150,1,19,5,30,5,19,4,10,81,95
Apache Commons Configuration,org.apache.commons.configuration2.spring,ConfigurationPropertySource,30,11,2,0,7,3,3,2,2,2,33,0
